sample	segments	clonality	ploidy	purity	homozygousLoss	use	notes
FADU	290	0.115	2.983	0.95	0.422	TRUE	NA
Farage	196	0.099	2.01	1	0.022	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A02_335190	269	0.236	2.662	1	0.066	FALSE	Oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A03_335192	134	0.194	4.558	1	0.007	FALSE	High prop. Non-integer
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A04_335194	207	0.142	2.974	0.95	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A05_335196	184	0.042	2.277	0.95	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A06_335198	152	0.137	2.266	0.95	0.01	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A07_335200	285	0.105	2.537	0.98	0.023	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202	102	0.077	2.492	1	0.006	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A09_335204	185	0.104	2.077	1	0.013	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A10_335206	142	0.092	2.506	0.95	0.054	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A12_335210	191	0.218	5.594	0.95	0.004	FALSE	High prop. Non-integer; oversegmemtation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B01_335212	174	0.074	2.514	1	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B02_335214	102	0.048	2.372	1	0.05	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B03_335216	199	0.097	3.256	0.96	0.089	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B04_335218	106	0.067	3.384	1	0.164	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B05_335220	227	0.134	2.376	0.97	0.004	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B06_335222	243	0.131	2.856	0.95	0.021	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B07_335224	114	0.1	1.612	0.95	0.008	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226	242	0.102	2.442	0.97	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B09_335228	300	0.228	2.468	1	0.035	FALSE	Oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B10_335230	87	0.08	3.092	1	0.425	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B11_335232	84	0.032	1.915	1	0.081	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B12_335234	212	0.243	4.291	1	NA	FALSE	High prop. Non-integer; oversegmemtation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C01_335236	199	0.182	3.183	0.99	0.501	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C02_335238	130	0.149	3.329	0.95	0.022	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C03_335240	122	0.074	2.481	0.95	0.014	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C04_335242	154	0.147	2.722	0.95	0	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244	325	0.162	3.949	1	0.149	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C06_335246	138	0.085	3.131	1	0.043	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C08_335250	210	0.167	2.621	1	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C09_335252	104	0.119	3.257	1	0	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C10_335254	188	0.211	4.506	1	0.009	FALSE	High prop. Non-integer; oversegmemtation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C11_335256	136	0.128	3.759	0.99	0.029	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C12_335258	265	0.241	5.139	1	0.233	FALSE	High prop. Non-integer; oversegmemtation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D01_335260	172	0.101	2.981	0.95	0.052	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D02_335262	63	0.039	2.006	1	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D04_335266	148	0.125	3.094	1	0.035	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D05_335268	143	0.153	3.094	0.95	0.214	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D06_335270	308	0.221	4.342	0.95	0	FALSE	High prop. Non-integer; oversegmemtation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D07_335272	57	0.126	2.869	0.99	0	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D08_335274	63	0.108	2.913	1	0.003	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D09_335276	73	0.056	3.721	0.95	0.091	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D10_335278	161	0.153	2.846	0.95	0.229	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D11_335280	240	0.186	1.992	1	0.007	FALSE	Oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282	62	0.06	1.959	0.95	0.022	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284	86	0.057	3.261	0.95	0.007	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E02_335286	138	0.085	2.105	1	0.01	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E03_335288	108	0.119	3.067	0.95	0.034	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E04_335290	79	0.067	1.993	1	0.024	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E05_335292	170	0.126	2.852	0.98	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E06_335294	175	0.156	3.579	0.99	0.01	TRUE	Some oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E07_335296	58	0.024	1.952	1	0.014	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E08_335298	201	0.218	4.696	1	0.124	FALSE	High prop. Non-integer
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E09_335300	97	0.096	3.025	1	0.001	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E10_335302	80	0.077	2.251	1	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E11_335304	203	0.171	2.677	0.95	0.011	TRUE	Some oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E12_335306	108	0.171	2.769	1	0.001	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308	254	0.114	2.271	0.95	0.377	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F02_335310	57	0.137	2.679	0.95	0.031	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F03_335312	191	0.204	3.764	1	0.178	TRUE	Some oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F04_335314	431	0.237	3.359	0.95	0.074	FALSE	Oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F05_335316	114	0.064	1.942	1	0.023	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318	291	0.17	2.651	1	0.05	FALSE	High prop. Non-integer; oversegmemtation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F07_335320	186	0.18	2.889	1	0.445	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F08_335322	91	0.069	2.018	0.95	0.012	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F10_335326	324	0.074	1.685	0.95	0.304	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F11_335328	244	0.111	2.743	0.95	0.017	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F12_335330	298	0.138	2.965	0.95	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_G01_335332	181	0.086	2.014	1	0.028	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_G02_335334	159	0.142	3.077	1	0.024	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_G04_335338	124	0.085	3.87	0.95	0.002	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_G05_335340	159	0.1	2.848	0.95	0.004	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_G06_335342	104	0.094	3.738	0.98	0	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H10_335374	355	0.196	3.142	1	0.088	FALSE	Oversegmentation
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H11_335376	135	0.049	1.821	1	NA	TRUE	NA
FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H12_335378	356	0.167	2.926	1	0.678	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B04_410886	175	0.062	1.996	1	0.002	TRUE	Some oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B05_410888	313	0.073	2.305	0.95	0.162	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B06_410890	116	0.095	2.062	0.95	0.063	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B07_410892	89	0.055	1.958	1	0.021	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B08_410894	279	0.123	3.462	0.95	0.049	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B09_410896	70	0.04	2.059	1	0.007	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B11_410900	349	0.167	3.772	0.98	0.029	FALSE	Oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058	119	0.05	3.261	0.96	0.03	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C01_411060	164	0.099	4.04	1	0.042	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C03_411056	156	0.059	3.097	0.99	0.068	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C04_411050	111	0.068	2.537	1	0.022	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C05_411052	384	0.103	3.02	0.95	NA	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C06_411046	117	0.215	1.142	0.95	0.957	FALSE	High prop. Non-integer; oversegmemtation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C08_411042	59	0.038	1.962	0.97	0.014	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C09_411044	44	0.085	3.912	1	0.003	TRUE	Refit at higher ploidy; Original ploidy 1.99; manual minimum 2.8; New ploidy 3.93
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C10_411038	168	0.142	3.068	0.95	0.133	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_C12_411034	216	0.078	2.868	0.95	0.09	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D03_411032	130	0.064	1.92	1	0.024	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D04_411028	42	0.027	2.116	1	0.014	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D05_411026	32	0.013	1.954	1	0.001	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D06_411024	177	0.174	2.952	1	0.037	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D07_411022	358	0.157	3.512	1	0.015	FALSE	Oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D08_411020	255	0.154	3.046	1	0.02	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D09_411018	59	0.027	2.035	1	0.084	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D10_411016	226	0.147	3.186	0.99	0.28	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D11_411014	207	0.074	2.702	0.98	0.05	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_D12_411012	173	0.147	3.13	0.95	0.025	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E01_411010	62	0.034	2.288	0.95	0.01	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E02_411008	60	0.15	3.598	0.98	0.179	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E04_411004	90	0.076	2.372	0.98	0.011	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E05_411002	171	0.093	3.083	0.97	NA	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E06_411000	205	0.175	4.724	0.95	0.034	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E07_410998	268	0.168	3.202	0.95	NA	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E09_410992	244	0.154	2.653	1	0.215	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E10_410994	118	0.074	1.933	1	0.032	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E11_410996	156	0.096	3.04	0.95	0.092	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E12_410982	158	0.152	3.852	0.95	0.046	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F01_410984	140	0.073	2.597	0.95	0.042	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F02_410986	49	0.123	1.842	1	0.09	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F04_410974	174	0.207	3.474	1	0.237	FALSE	High prop. Non-integer
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F05_410976	82	0.197	3.539	0.97	0.024	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F06_410978	140	0.065	2.045	1	0.023	TRUE	Some oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F07_410980	309	0.079	3.132	0.95	0.066	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F09_410968	322	0.127	1.965	1	0.01	TRUE	Some oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F10_410970	66	0.174	3.993	1	0.016	FALSE	non-interleaving copy states
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F11_410972	173	0.166	3.559	1	0.081	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F12_410960	109	0.08	2.71	1	0.028	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G01_410958	303	0.121	1.986	1	NA	FALSE	Oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G02_410964	139	0.051	1.815	1	0.333	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G03_410962	122	0.194	1.298	0.95	4.429	FALSE	High prop. Non-integer
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G04_410952	155	0.072	2.189	1	0.008	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G05_410950	202	0.081	2.01	1	0.004	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G06_410956	331	0.143	2.265	1	0.053	FALSE	Oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G07_410954	53	0.218	1.638	0.95	0.053	FALSE	High prop. Non-integer
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G08_410944	122	0.161	4.539	1	0.025	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G09_410942	358	0.126	1.906	1	0.014	TRUE	Some oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G10_410948	247	0.086	2.698	1	0.163	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G11_410946	84	0.053	2.015	0.96	0	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936	175	0.057	2.047	1	0.128	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H02_410940	211	NA	NA	0.95	NA	FALSE	High prop. Non-integer; oversegmemtation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H03_410938	97	0.05	2.044	1	0.161	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H04_410922	126	0.062	1.959	1	0.009	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H05_410924	62	0.096	2.234	1	0.034	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H06_410918	306	0.106	3.24	1	0.524	TRUE	Some oversegmentation
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H07_410920	52	0.036	2.041	1	0.005	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H08_410930	63	0.056	1.975	1	NA	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H09_410932	169	0.133	3.228	0.98	0.005	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926	76	0.061	2.057	1	0.018	TRUE	NA
FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H11_410928	162	0.226	1.781	0.96	0.125	FALSE	Refit at higher ploidy failed to improve fit
FLO-1	124	0.16	3.794	1	0.06	TRUE	Refit at higher ploidy; Original ploidy 1.91; manual minimum 2.8; New ploidy 3.72
FTC-133	98	0.235	5.238	1	0.002	FALSE	High prop. Non-integer
FU-OV-1	234	0.087	2.905	0.95	0.1	TRUE	NA
FU97	208	0.234	3.281	0.95	0.06	FALSE	Oversegmentation
G-361	149	0.172	3.239	0.95	0.002	TRUE	NA
G-401	36	0.029	1.939	1	0.021	TRUE	NA
G-402	46	0.052	2.032	1	0.007	TRUE	NA
GA-10	113	0.098	1.948	1	0.005	TRUE	NA
GAK	125	0.133	2.547	0.95	0.006	TRUE	NA
GAMG	99	0.138	2.988	0.95	0.015	TRUE	NA
GB-1	159	0.124	2.883	0.95	0.329	TRUE	NA
GCIY	154	0.106	2.616	0.95	0.053	TRUE	NA
GCT	62	0.169	3.901	0.97	0.001	FALSE	High prop. Non-integer; No fit correlation
GDM-1	41	0.022	2.089	0.95	0.011	TRUE	NA
GI-ME-N	74	0.11	3.427	0.95	0.008	TRUE	NA
GMS-10	186	0.186	3.015	1	0.014	FALSE	Oversegmentation
GOTO	177	0.048	4.111	0.95	0.016	FALSE	non-interleaving copy states
GP5d	53	0.048	2.043	1	0.011	TRUE	NA
GR-ST	180	0.074	2.067	0.99	0.054	TRUE	NA
GRANTA-519	171	0.076	1.891	1	0.08	TRUE	NA
GT3TKB	206	0.101	2.257	0.95	0.073	TRUE	NA
H-EMC-SS	35	0.022	1.998	1	0.006	TRUE	NA
H2369	129	0.16	3.361	1	NA	TRUE	NA
H2595	149	0.11	3.141	1	0.376	TRUE	NA
H2795	75	0.058	1.884	1	0.29	TRUE	NA
H2804	90	0.19	4.888	0.95	0.003	TRUE	NA
H3118	65	0.065	2.16	1	0.038	TRUE	NA
H4	155	0.11	2.993	0.95	0.069	TRUE	NA
H9	210	0.193	4.164	0.97	0.313	FALSE	High prop. Non-integer; oversegmemtation
HA7-RCC	79	0.188	3.51	0.96	0.043	TRUE	NA
HAL-01	141	0.095	2.003	1	0.039	TRUE	NA
HARA	196	0.165	2.668	0.95	0.023	TRUE	NA
HC-1	35	0.039	1.946	0.95	0.01	TRUE	NA
HCC-15	149	0.04	1.676	1	0.008	TRUE	NA
HCC-366	217	0.147	2.497	1	0.009	TRUE	Some oversegmentation
HCC-44	112	0.246	1.86	0.95	2.552	FALSE	Refit at higher ploidy failed to improve fit
HCC-56	96	0.107	2.834	0.95	0	TRUE	NA
HCC-78	153	0.089	4.075	1	0.008	TRUE	Refit at higher ploidy; Original ploidy 2; manual minimum 3.2; New ploidy 3.87
HCC-827	146	0.139	2.908	0.95	0.003	TRUE	NA
HCC1143	243	0.216	3.236	0.96	0.029	TRUE	NA
HCC1187	137	0.129	2.582	0.95	0.055	TRUE	NA
HCC1395	306	0.183	2.601	0.95	0.682	FALSE	High prop. Non-integer
HCC1419	198	0.214	4.885	1	0.002	FALSE	High prop. Non-integer; oversegmemtation
HCC1428	220	0.142	3.621	0.99	NA	TRUE	NA
HCC1500	187	0.102	3.359	0.96	0.165	TRUE	NA
HCC1569	193	0.182	4.3	1	0.009	FALSE	High prop. Non-integer; oversegmemtation
HCC1599	203	0.232	2.652	1	0.162	FALSE	High prop. Non-integer
HCC1806	227	0.128	2.371	0.95	0.044	TRUE	NA
HCC1937	129	0.183	1.106	0.95	6.634	FALSE	Refit at higher ploidy failed to improve fit
HCC202	221	0.102	3.03	0.95	0.006	TRUE	NA
HCC2157	175	0.119	2.67	0.95	0.196	TRUE	NA
HCC2218	117	0.209	4.907	0.95	0.008	TRUE	NA
HCC2998	52	0.033	2.082	1	0.009	TRUE	NA
HCC38	329	0.204	3.413	0.95	0.517	FALSE	High prop. Non-integer; oversegmemtation
HCC70	99	0.17	4.522	0.99	0	TRUE	NA
HCE-4	193	0.124	2.676	0.95	0.026	TRUE	NA
HCT-116	103	0.078	1.939	1	NA	TRUE	NA
HCT-15	70	0.042	1.974	1	0.01	TRUE	NA
HD-MY-Z	112	0.119	2.416	0.95	0.054	TRUE	NA
HDLM-2	151	0.072	1.932	0.95	0.068	TRUE	NA
HEC-1	104	0.11	3.384	0.95	NA	TRUE	NA
HEL	91	0.058	2.827	0.95	NA	TRUE	NA
HeLa	83	0.252	5.198	0.95	0.002	FALSE	High prop. Non-integer
Hey	75	0.122	3.924	0.96	0.068	TRUE	NA
HGC-27	272	0.106	3.008	0.95	0.136	TRUE	NA
HH	82	0.024	1.997	0.96	0.029	TRUE	NA
HL-60	74	0.027	1.925	0.98	0.002	TRUE	NA
HLE	119	0.184	3.858	1	0.004	TRUE	NA
HMV-II	230	0.191	2.882	1	0.004	FALSE	High prop. Non-integer; oversegmemtation
HN	164	0.157	3.119	0.95	0.026	TRUE	NA
HO-1-N-1	63	0.18	3.5	0.98	0.229	FALSE	High prop. Non-integer
HO-1-u-1	234	0.101	2.721	1	0.147	TRUE	Shattered chrom. 17
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A01_293280	87	0.094	1.955	0.95	0.002	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A02_293282	144	0.124	2.662	0.95	0.049	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284	43	0.02	2.004	1	0.001	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A04_293286	66	0.116	2.067	1	0.002	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A05_293288	164	0.122	4.066	0.95	0.019	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A06_293290	201	0.12	4.004	0.95	0.028	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A07_293292	184	0.12	3.123	1	0.271	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A08_293294	139	0.097	2.667	0.95	NA	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A09_293296	72	0.088	3.888	0.95	0	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A10_293298	181	0.107	2.109	1	0	TRUE	Some oversegmentation
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A11_293300	209	0.046	1.899	0.95	0.053	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A12_293302	86	0.156	3.932	0.95	0.036	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B02_293306	123	0.057	2.779	0.95	NA	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B03_293308	136	0.161	5.054	0.95	0.021	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310	53	0.036	2.375	0.98	0.088	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B05_293312	268	0.139	4.569	0.95	0.003	TRUE	Some oversegmentation
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B07_293316	168	0.116	2.667	0.95	0.098	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B09_293320	151	0.093	3.695	0.95	0.066	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B10_293322	30	0.036	1.956	1	0	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B11_293324	47	0.054	2.022	1	0.006	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326	308	0.177	5.036	1	0.011	FALSE	High prop. Non-integer
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C01_293328	149	0.08	1.981	0.99	0.077	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C02_293330	69	0.15	5.47	0.95	0.012	FALSE	High prop. Non-integer
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C03_293332	209	0.175	3.334	0.95	0.024	FALSE	High prop. Non-integer
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C04_293334	209	0.105	2.617	0.96	0.009	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C06_293338	125	0.082	3.009	0.95	0.001	TRUE	NA
HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C07_293340	135	0.121	2.997	1	0.028	TRUE	NA
